"task_id","title","description","type","status","priority","assignee","reporter","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","project","parent_id","dependencies","skills_required","complexity","risk_level","acceptance_criteria","definition_of_done","created_at","updated_at","sprint_start_date","sprint_end_date","capacity_allocation","collaboration_required","external_dependencies","testing_requirements","deployment_notes","business_value"
"TASK-FE-COMP-02","Implement Angle Mode Switcher and Display Indicator","Add a button or toggle group to the UI for switching angle modes. This control should dispatch an action to update the `angleMode` in the Redux store. Update the `Display` component to show the current mode (DEG/RAD/GRAD).","Development","Sprint Backlog","High","frontend.dev2@company.com","product.owner@company.com","2024-01-19","5.2","2","frontend,ui,react-component","Sprint 1","Establish CI/CD, project structures, and deliver a functional, responsive scientific calculator for anonymous users.","Core Calculator & UI Framework","EPIC-001","Calculator SPA","US-007","TASK-FE-CALC-02,TASK-FE-COMP-01","React,Redux Toolkit","Low","Low","User can cycle through modes, display indicator updates instantly, control is keyboard accessible.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-01-08T09:00:00Z","2024-01-08T09:00:00Z","2024-01-08","2024-01-19","100%","","","Component tests and manual verification","","Provides essential user control for trigonometric functions."
"TASK-FE-E2E-02","Write E2E Test for Angle Mode Switching and Calculation","Create a Cypress test that clicks the mode switcher to select 'DEG', calculates 'sin(90)', and asserts the result is 1. The test should then switch to 'RAD', calculate 'cos(pi)', and assert the result is -1.","Testing","Sprint Backlog","Medium","qa.engineer@company.com","product.owner@company.com","2024-01-19","3.3","1","qa,e2e,cypress","Sprint 1","Establish CI/CD, project structures, and deliver a functional, responsive scientific calculator for anonymous users.","Core Calculator & UI Framework","EPIC-001","Calculator SPA","US-007","TASK-FE-COMP-02","Cypress","Low","Low","Test successfully simulates mode switching, asserts correct results in different modes, and runs in CI.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-01-08T09:00:00Z","2024-01-08T09:00:00Z","2024-01-08","2024-01-19","100%","","","Test passes in CI pipeline","","Ensures trigonometric functions are reliable and accurate end-to-end."
"TASK-FE-COMP-03","Implement History Panel Component","Build the `HistoryPanel.tsx` component. It will subscribe to the `history` array in the Redux store and render a list of past calculations. Each item should be clickable.","Development","Sprint Backlog","High","frontend.dev2@company.com","product.owner@company.com","2024-01-19","5.3","2","frontend,ui,react-component","Sprint 1","Establish CI/CD, project structures, and deliver a functional, responsive scientific calculator for anonymous users.","Core Calculator & UI Framework","EPIC-001","Calculator SPA","US-012","TASK-FE-LAYOUT-02,TASK-FE-CALC-02","React,Redux Toolkit","Low","Low","Component displays history in reverse chronological order, shows empty state, and clicking an item dispatches an update action.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-01-08T09:00:00Z","2024-01-08T09:00:00Z","2024-01-08","2024-01-19","100%","","","Component tests and manual verification","","Provides a core usability feature for reviewing and reusing calculations."
"TASK-INFRA-COGNITO-01","Define AWS Cognito Infrastructure in Terraform","Write Terraform HCL to provision the Cognito User Pool and App Client. Configure the password policy as per REQ-1-071 and set up OAuth 2.0 with PKCE.","Infrastructure","Sprint Backlog","Critical","devops.lead@company.com","product.owner@company.com","2024-02-02","6.3","3","devops,iac,terraform,aws,cognito","Sprint 2","Implement the complete user authentication lifecycle. Establish the backend services and database schemas for all user-specific data.","User Account & Data Persistence","EPIC-002","Calculator SPA","US-052","","Terraform,AWS Cognito","Medium","Medium","Terraform apply succeeds, Cognito resources are created with correct password policy and PKCE flow configuration.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-01-08T09:00:00Z","2024-01-08T09:00:00Z","2024-01-22","2024-02-02","100%","Backend team","","Review of applied resources in AWS Console","","Provisions the core identity and authentication service for the application."
"TASK-BE-AUTH-JWT-01","Implement NestJS JWT Strategy and Guard for Cognito","Configure `passport-jwt` in the NestJS backend. Create a `JwtStrategy` that retrieves the JWKS from the Cognito endpoint to validate incoming JWTs. Create a `JwtAuthGuard` to protect routes.","Development","Sprint Backlog","Critical","backend.dev1@company.com","product.owner@company.com","2024-02-02","9.3","5","backend,security,auth,nestjs,jwt","Sprint 2","Implement the complete user authentication lifecycle. Establish the backend services and database schemas for all user-specific data.","User Account & Data Persistence","EPIC-002","Calculator SPA","US-053","TASK-INFRA-COGNITO-01","NestJS,JWT,Passport.js","High","High","Strategy fetches/caches JWKS, guard validates Cognito token, guard rejects invalid tokens with 401.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-01-08T09:00:00Z","2024-01-08T09:00:00Z","2024-01-22","2024-02-02","100%","","AWS Cognito","Integration tests for the guard","","Core backend security mechanism to protect user data and APIs."
"TASK-DB-MIGRATE-01","Create Migration for `calculation_history` Table","Write a TypeORM migration script to create the `calculation_history` table with columns for `id`, `user_id` (FK to users), `expression`, `result`, and `created_at`.","Development","Sprint Backlog","High","backend.dev1@company.com","product.owner@company.com","2024-02-02","3.2","1","backend,database,migration,typeorm","Sprint 2","Implement the complete user authentication lifecycle. Establish the backend services and database schemas for all user-specific data.","User Account & Data Persistence","EPIC-002","Calculator SPA","US-054","TASK-DB-MIGRATE-02","SQL,TypeORM","Low","Low","Migration `up` and `down` scripts run successfully, schema matches specification.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-01-08T09:00:00Z","2024-01-08T09:00:00Z","2024-01-22","2024-02-02","100%","","","Successful execution of the migration script","Migration must run before application deployment.","Creates the database structure to persist user calculation history."
"TASK-BE-CRUD-HIST-01","Implement Backend Service and Controller for History","Create the `HistoryModule` in NestJS. Implement the controller with `GET /history` and `POST /history` endpoints. Implement the service to handle database interactions, ensuring all queries are scoped by the authenticated user's ID.","Development","Sprint Backlog","High","backend.dev1@company.com","product.owner@company.com","2024-02-02","7.3","3","backend,api,crud,nestjs","Sprint 2","Implement the complete user authentication lifecycle. Establish the backend services and database schemas for all user-specific data.","User Account & Data Persistence","EPIC-002","Calculator SPA","US-054","TASK-BE-AUTH-JWT-01,TASK-DB-MIGRATE-01","NestJS,TypeORM","Medium","Low","POST endpoint saves item for user, GET endpoint returns only items for user, both endpoints protected by JwtAuthGuard.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-01-08T09:00:00Z","2024-01-08T09:00:00Z","2024-01-22","2024-02-02","100%","","","Integration tests pass","","Provides the API for managing persistent user calculation history."
"TASK-DB-MIGRATE-02","Create Migration for `users` and `custom_modes` Tables","Write a TypeORM migration script to create the `users` and `custom_modes` tables with schemas from REQ-1-058 and REQ-1-059, including the JSONB column for `definition`.","Development","Sprint Backlog","Critical","backend.dev1@company.com","product.owner@company.com","2024-02-02","5.2","2","backend,database,migration,typeorm","Sprint 2","Implement the complete user authentication lifecycle. Establish the backend services and database schemas for all user-specific data.","User-Extensible Custom Modes","EPIC-004","Calculator SPA","US-056","","SQL,TypeORM","Medium","Medium","Migration runs successfully, tables are created with correct columns, types, and foreign key constraints.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-01-08T09:00:00Z","2024-01-08T09:00:00Z","2024-01-22","2024-02-02","100%","","","Schema verification in the database","","Creates the foundational database structures for all user-specific data."
"TASK-BE-CRUD-MODES-01","Implement Backend CRUD Service and Controller for Custom Modes","Create the `ModesModule` in NestJS. Implement the controller, service, and entity for all CRUD operations on custom modes. Ensure all endpoints are protected by the `JwtAuthGuard` and queries are scoped by user ID.","Development","Sprint Backlog","Critical","backend.dev1@company.com","product.owner@company.com","2024-02-02","12","8","backend,api,crud,nestjs","Sprint 2","Implement the complete user authentication lifecycle. Establish the backend services and database schemas for all user-specific data.","User-Extensible Custom Modes","EPIC-004","Calculator SPA","US-056","TASK-BE-AUTH-JWT-01,TASK-DB-MIGRATE-02","NestJS,TypeORM","High","Medium","API endpoints for CRUD are created, user can only access/modify their own modes, definition payload is validated.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-01-08T09:00:00Z","2024-01-08T09:00:00Z","2024-01-22","2024-02-02","100%","","","Integration tests for all endpoints and authorization scenarios","","Provides the backend API for managing the application's flagship feature."
"TASK-INFRA-LAMBDA-01","Define Formula Executor Lambda in Terraform","Write Terraform HCL to provision the AWS Lambda function, including its execution role with minimal permissions (CloudWatch Logs only), memory/timeout settings, and environment variables.","Infrastructure","Sprint Backlog","Critical","devops.lead@company.com","product.owner@company.com","2024-02-02","5.2","2","devops,iac,terraform,aws,lambda","Sprint 2","Implement the complete user authentication lifecycle. Establish the backend services and database schemas for all user-specific data.","User-Extensible Custom Modes","EPIC-004","Calculator SPA","US-047","","Terraform,AWS Lambda","Medium","Medium","Terraform apply succeeds, Lambda function and IAM role are created, resource limits are set.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-01-08T09:00:00Z","2024-01-08T09:00:00Z","2024-01-22","2024-02-02","100%","Backend team","","Resources are visible and correctly configured in the AWS Console","","Provisions the secure, isolated environment for executing user-defined code."
"TASK-API-DOCS-01","Set up and Configure OpenAPI (Swagger) Generation","Integrate `@nestjs/swagger` into the backend. Add decorators to all existing and new DTOs and controllers to generate a complete OpenAPI 3.0 specification. Expose the UI at `/api-docs`.","Documentation","Sprint Backlog","Medium","backend.dev1@company.com","product.owner@company.com","2024-02-02","3","1","backend,documentation,api,swagger","Sprint 2","Implement the complete user authentication lifecycle. Establish the backend services and database schemas for all user-specific data.","User-Extensible Custom Modes","EPIC-004","Calculator SPA","US-056","TASK-BE-CRUD-MODES-01","NestJS,Swagger","Low","Low","/api-docs endpoint is available with Swagger UI, all endpoints are documented, data models are correct.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-01-08T09:00:00Z","2024-01-08T09:00:00Z","2024-01-22","2024-02-02","100%","","","Manual inspection of the generated Swagger UI","","Provides clear, auto-generated API documentation for developers and consumers."
"TASK-FE-AUTH-REG-01","Implement User Registration Form and Client-Side Validation","Create the `Register.tsx` component with fields for email, password, and password confirmation. Implement client-side validation for required fields, email format, and password match.","Development","Sprint Backlog","Critical","frontend.dev2@company.com","product.owner@company.com","2024-02-16","6","3","frontend,ui,auth,form","Sprint 3","Connect the frontend to persistence backends. Implement the full login/registration flow and build the custom mode creation wizard.","User Account & Data Persistence","EPIC-002","Calculator SPA","US-052","TASK-FE-LAYOUT-02","React,TypeScript","Medium","Low","Form renders correctly, validation errors appear, submit button is disabled until form is valid.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-01-08T09:00:00Z","2024-01-08T09:00:00Z","2024-02-05","2024-02-16","100%","","","Component tests for form validation","","Provides the user interface for new user onboarding."
"TASK-FE-AUTH-REG-02","Integrate Registration Form with AWS Cognito SDK","Add logic to the `Register.tsx` component to call the AWS Cognito sign-up function on form submission. Handle success (auto-login, redirect) and error states.","Development","Sprint Backlog","Critical","frontend.dev1@company.com","product.owner@company.com","2024-02-16","7.3","3","frontend,auth,cognito,api-integration","Sprint 3","Connect the frontend to persistence backends. Implement the full login/registration flow and build the custom mode creation wizard.","User Account & Data Persistence","EPIC-002","Calculator SPA","US-052","TASK-FE-AUTH-REG-01,TASK-INFRA-COGNITO-01","React,AWS Cognito","Medium","Medium","Successful submission creates user in Cognito, handles duplicate email error, handles weak password error.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-01-08T09:00:00Z","2024-01-08T09:00:00Z","2024-02-05","2024-02-16","100%","","AWS Cognito","E2E tests for registration success and failure","","Connects the registration UI to the backend identity service."
"TASK-FE-AUTH-LOGIN-01","Implement Frontend Auth Service for PKCE Flow","Create a client-side `AuthService.ts` to manage the OAuth 2.0 Authorization Code flow with PKCE. It should handle generating the code verifier/challenge, redirecting to Cognito, and exchanging the authorization code for tokens.","Development","Sprint Backlog","Critical","frontend.dev1@company.com","product.owner@company.com","2024-02-16","10.3","8","frontend,auth,security,oauth","Sprint 3","Connect the frontend to persistence backends. Implement the full login/registration flow and build the custom mode creation wizard.","User Account & Data Persistence","EPIC-002","Calculator SPA","US-053","TASK-INFRA-COGNITO-01","TypeScript,OAuth 2.0,Security","High","High","Service generates valid code_challenge, constructs authorize URL, and can exchange auth code for tokens.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-01-08T09:00:00Z","2024-01-08T09:00:00Z","2024-02-05","2024-02-16","100%","","AWS Cognito","Unit tests and integration with the Login UI","RISK-002: Incorrect implementation of security flow","Implements the secure authentication protocol for the client application."
"TASK-FE-AUTH-LOGIN-02","Implement Login Form UI and State Management","Create the `Login.tsx` component and integrate it with the `AuthService`. Handle UI states for loading, error, and success. Upon receiving tokens, dispatch actions to update the global Redux auth state.","Development","Sprint Backlog","Critical","frontend.dev2@company.com","product.owner@company.com","2024-02-16","8.2","5","frontend,ui,auth,redux","Sprint 3","Connect the frontend to persistence backends. Implement the full login/registration flow and build the custom mode creation wizard.","User Account & Data Persistence","EPIC-002","Calculator SPA","US-053","TASK-FE-AUTH-LOGIN-01","React,Redux Toolkit","Medium","Low","User can initiate login, app handles Cognito redirect, user is redirected on success and UI reflects logged-in state.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-01-08T09:00:00Z","2024-01-08T09:00:00Z","2024-02-05","2024-02-16","100%","","","E2E tests for the complete login journey","","Provides the user interface for authentication."
"TASK-FE-INTEGRATE-HIST-01","Integrate Frontend History with Backend API","Use RTK Query to create API hooks for fetching and creating history items. Upon login, trigger the fetch query. After a calculation, call the creation mutation.","Development","Sprint Backlog","High","frontend.dev1@company.com","product.owner@company.com","2024-02-16","7.2","3","frontend,api-integration,rtk-query","Sprint 3","Connect the frontend to persistence backends. Implement the full login/registration flow and build the custom mode creation wizard.","User Account & Data Persistence","EPIC-002","Calculator SPA","US-054","TASK-FE-AUTH-LOGIN-02,TASK-BE-CRUD-HIST-01,TASK-FE-COMP-03","React,RTK Query,Redux Toolkit","Medium","Low","On login, GET /history is called and populates panel. On calculate, POST /history is called. UI handles loading/error states.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-01-08T09:00:00Z","2024-01-08T09:00:00Z","2024-02-05","2024-02-16","100%","Backend team","","E2E test for login, history load, and new calculation persistence","","Enables persistent, cross-device calculation history for registered users."
"TASK-FE-WIZARD-01","Develop Custom Mode Wizard Shell and Step 1 (Info)","Create the main `ModeCreatorWizard.tsx` component to manage the multi-step flow. Implement the first step for entering the mode's name and description, with client-side validation.","Development","Sprint Backlog","Critical","frontend.dev2@company.com","product.owner@company.com","2024-02-16","8.2","5","frontend,ui,wizard,feature","Sprint 3","Connect the frontend to persistence backends. Implement the full login/registration flow and build the custom mode creation wizard.","User-Extensible Custom Modes","EPIC-004","Calculator SPA","US-041","TASK-FE-LAYOUT-02","React,Redux Toolkit","Medium","Low","Wizard component renders, can navigate between steps, Step 1 form validates name field.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-01-08T09:00:00Z","2024-01-08T09:00:00Z","2024-02-05","2024-02-16","100%","","","Component tests","","Provides the foundational UI for creating custom modes."
"TASK-FE-WIZARD-02","Implement Wizard Step 2 (Define Variables)","Create the component for the 'Define Variables' step. Allow users to dynamically add/edit/remove input and output variables, with validation for unique and valid names.","Development","Sprint Backlog","Critical","frontend.dev2@company.com","product.owner@company.com","2024-02-16","9.3","5","frontend,ui,wizard,dynamic-form","Sprint 3","Connect the frontend to persistence backends. Implement the full login/registration flow and build the custom mode creation wizard.","User-Extensible Custom Modes","EPIC-004","Calculator SPA","US-041","TASK-FE-WIZARD-01","React,TypeScript","High","Low","User can add/remove variables, validation prevents duplicates/invalid names, 'Next' button disabled until valid state.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-01-08T09:00:00Z","2024-01-08T09:00:00Z","2024-02-05","2024-02-16","100%","","","Component tests for list management and validation","","Enables users to define the interface for their custom calculators."
"TASK-FE-WIZARD-03","Integrate Wizard with Backend Create Endpoint","Implement the final 'Save' logic in the wizard. On submission, gather the state from all steps, format it into the required JSON `definition`, and call the `POST /modes` API endpoint. Handle success and error responses.","Development","Sprint Backlog","Critical","frontend.dev1@company.com","product.owner@company.com","2024-02-16","5.3","2","frontend,api-integration,wizard","Sprint 3","Connect the frontend to persistence backends. Implement the full login/registration flow and build the custom mode creation wizard.","User-Extensible Custom Modes","EPIC-004","Calculator SPA","US-041","TASK-FE-WIZARD-02,TASK-BE-CRUD-MODES-01","React,RTK Query","Medium","Low","Successful save navigates to management screen, success notification shown, API errors handled within the wizard.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-01-08T09:00:00Z","2024-01-08T09:00:00Z","2024-02-05","2024-02-16","100%","Backend team","","E2E test for creating a complete custom mode","","Connects the custom mode creator to the persistence layer, allowing users to save their work."
"TASK-BE-SANDBOX-01","Implement Secure Lambda Sandbox with `isolated-vm`","Develop the Node.js AWS Lambda function. Implement the core logic using `isolated-vm` to create a secure V8 isolate, inject an allow-list of math functions, execute the user's formula script with strict resource limits, and return the result.","Development","Sprint Backlog","Critical","backend.dev1@company.com","product.owner@company.com","2024-03-01","14.5","13","backend,security,lambda,sandbox","Sprint 4","Launch the flagship user-extensible feature by building the custom mode creation wizard and the secure execution engine, allowing users to create and run their own tools.","User-Extensible Custom Modes","EPIC-004","Calculator SPA","US-047","TASK-INFRA-LAMBDA-01","Node.js,AWS Lambda,`isolated-vm`,Security","Critical","High","Lambda calculates valid formula, throws error on access to globals, times out on infinite loops, `vm2` is not a dependency.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-01-08T09:00:00Z","2024-01-08T09:00:00Z","2024-02-19","2024-03-01","100%","DevOps team","","Extensive unit tests, including negative security tests.","RISK-001 & RISK-005: Sandboxing untrusted code is extremely high-risk.","Provides the secure execution environment required for the application's most innovative feature."
"TASK-BE-EXEC-01","Implement Backend Endpoint to Invoke Execution Lambda","Create the `POST /modes/:id/execute` endpoint in NestJS. This endpoint will fetch the mode definition, validate the incoming input variables against it, invoke the AWS Lambda execution service with the formulas and inputs, and return the result.","Development","Sprint Backlog","Critical","backend.dev1@company.com","product.owner@company.com","2024-03-01","9.3","5","backend,api,lambda,integration","Sprint 4","Launch the flagship user-extensible feature by building the custom mode creation wizard and the secure execution engine, allowing users to create and run their own tools.","User-Extensible Custom Modes","EPIC-004","Calculator SPA","US-047","TASK-BE-CRUD-MODES-01,TASK-BE-SANDBOX-01","NestJS,AWS SDK","Medium","Medium","Endpoint is protected, calls Lambda with correct payload, handles success and error responses from Lambda.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-01-08T09:00:00Z","2024-01-08T09:00:00Z","2024-02-19","2024-03-01","100%","","AWS Lambda","Integration tests that mock the Lambda SDK call.","","Orchestrates the entire custom mode execution flow from user request to secure calculation."
